node_num,xml_level,xml_index,parent_location,parent_node_num,isParent,node_attributes,component_validity,old_bounds,new_bounds,total_changes,change_types,new_attributes,class
1,0,0,,0.0,,,ignored,,,0,,,
2,1,0,"(0, '0')",1.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",valid,"[0,0][1080,1794]","[0,0][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",FrameLayout
3,2,0,"(1, '0')",2.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",valid,"[0,0][1080,1794]","[0,0][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",LinearLayout
4,3,0,"(2, '0')",3.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",FrameLayout
5,4,0,"(3, '0')",4.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'chat.rocket.android:id/action_bar_root', 'class': 'android.widget.LinearLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'chat.rocket.android:id/action_bar_root', 'class': 'android.widget.LinearLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",LinearLayout
6,5,0,"(4, '0')",5.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",FrameLayout
7,6,0,"(5, '0')",6.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",FrameLayout
8,7,0,"(6, '0')",7.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
9,8,0,"(7, '0')",8.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
10,9,0,"(8, '0')",9.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
11,10,0,"(9, '0')",10.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",FrameLayout
12,11,0,"(10, '0')",11.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
13,12,1,"(11, '0')",12.0,Parent,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
14,13,0,"(12, '1')",13.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
15,14,0,"(13, '0')",14.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
16,15,0,"(14, '0')",15.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
17,16,1,"(15, '0')",16.0,Parent,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
18,17,0,"(16, '1')",17.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
19,18,0,"(17, '0')",18.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
20,19,0,"(18, '0')",19.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
21,20,0,"(19, '0')",20.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",FrameLayout
22,21,0,"(20, '0')",21.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
23,22,1,"(21, '0')",22.0,Parent,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
24,23,0,"(22, '1')",23.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
25,24,0,"(23, '0')",24.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'chat.rocket.android', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
