node_num,xml_level,xml_index,parent_location,parent_node_num,isParent,node_attributes,component_validity,old_bounds,new_bounds,total_changes,change_types,new_attributes,class
1,0,0,,0.0,,,ignored,,,0,,,
2,1,0,"(0, '0')",1.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",valid,"[0,0][1080,1794]","[0,0][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",FrameLayout
3,2,0,"(1, '0')",2.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'android:id/decor_content_parent', 'class': 'android.view.ViewGroup', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",valid,"[0,0][1080,1794]","[0,0][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'android:id/decor_content_parent', 'class': 'android.view.ViewGroup', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",ViewGroup
4,3,0,"(2, '0')",3.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'android:id/action_bar_container', 'class': 'android.widget.FrameLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",valid,"[0,63][1080,210]","[0,63][1080,210]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'android:id/action_bar_container', 'class': 'android.widget.FrameLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",FrameLayout
5,4,0,"(3, '0')",4.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'android:id/action_bar', 'class': 'android.view.ViewGroup', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",valid,"[0,63][1080,210]","[0,63][1080,210]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'android:id/action_bar', 'class': 'android.view.ViewGroup', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",ViewGroup
6,5,0,"(4, '0')",5.0,Leaf,"{'index': '0', 'text': 'Zandy', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,101][188,172]'}",valid,"[42,101][188,172]","[42,101][188,172]",0,NC,"{'index': '0', 'text': 'Zandy', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,101][188,172]'}",TextView
7,5,1,"(4, '0')",5.0,Parent,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[975,63][1080,210]'}",valid,"[975,63][1080,210]","[975,63][1080,210]",0,NC,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[975,63][1080,210]'}",LinearLayout
8,6,0,"(5, '1')",7.0,Leaf,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ImageButton', 'package': 'com.gimranov.zandy.app', 'content-desc': 'More options', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[975,73][1080,199]'}",valid,"[975,73][1080,199]","[975,73][1080,199]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ImageButton', 'package': 'com.gimranov.zandy.app', 'content-desc': 'More options', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[975,73][1080,199]'}",ImageButton
9,3,1,"(2, '0')",3.0,Parent,"{'index': '1', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,210][1080,1794]'}",valid,"[0,210][1080,1794]","[0,210][1080,1794]",1,['CC'],"{'index': '1', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,210][1080,1794]'}",FrameLayout
10,4,0,"(3, '1')",9.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'com.gimranov.zandy.app:id/main', 'class': 'android.widget.LinearLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,210][1080,1794]'}",valid,"[0,210][1080,1794]","[0,210][1080,1794]",1,['CC'],"{'index': '0', 'text': '', 'resource-id': 'com.gimranov.zandy.app:id/main', 'class': 'android.widget.LinearLayout', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,210][1080,1794]'}",LinearLayout
11,5,0,"(4, '0')",10.0,Leaf,"{'index': '0', 'text': 'VIEW COLLECTIONS', 'resource-id': 'com.gimranov.zandy.app:id/collectionButton', 'class': 'android.widget.Button', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,210][1080,336]'}",valid,"[0,210][1080,336]","[0,210][1080,336]",2,"['TXC', 'CC']","{'index': '0', 'text': 'VIEW COLLECTIONS', 'resource-id': 'com.gimranov.zandy.app:id/collectionButton', 'class': 'android.widget.Button', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,210][1080,336]'}",Button
12,5,1,"(4, '0')",10.0,Leaf,"{'index': '1', 'text': 'VIEW ITEMS', 'resource-id': 'com.gimranov.zandy.app:id/itemButton', 'class': 'android.widget.Button', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,336][1080,462]'}",valid,"[0,336][1080,462]","[0,336][1080,462]",2,"['TXC', 'CC']","{'index': '1', 'text': 'VIEW ITEMS', 'resource-id': 'com.gimranov.zandy.app:id/itemButton', 'class': 'android.widget.Button', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,336][1080,462]'}",Button
13,5,2,"(4, '0')",10.0,Leaf,"{'index': '2', 'text': '', 'resource-id': 'android:id/list', 'class': 'android.widget.ListView', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,462][1080,1366]'}",valid,"[0,462][1080,1366]","[0,462][1080,1366]",1,['CC'],"{'index': '2', 'text': '', 'resource-id': 'android:id/list', 'class': 'android.widget.ListView', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,462][1080,1366]'}",ListView
14,5,3,"(4, '0')",10.0,Leaf,"{'index': '3', 'text': 'LOG IN', 'resource-id': 'com.gimranov.zandy.app:id/loginButton', 'class': 'android.widget.Button', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,1366][1080,1794]'}",valid,"[0,1366][1080,1794]","[0,1366][1080,1794]",2,"['TXC', 'CC']","{'index': '3', 'text': 'LOG IN', 'resource-id': 'com.gimranov.zandy.app:id/loginButton', 'class': 'android.widget.Button', 'package': 'com.gimranov.zandy.app', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,1366][1080,1794]'}",Button
